kind,course,surface,distance,name,starts,wins,winReturn,raceCount,minDate,maxDate
condition,京都,ダート,1800,__all__,4816,376,374670,375,2023-05-20,2026-05-17
condition,京都,ダート,1400,__all__,3485,241,240330,241,2023-05-20,2026-05-17
condition,京都,ダート,1900,__all__,1271,99,80910,99,2023-05-20,2026-05-17
condition,京都,芝,1200,__all__,1098,75,72320,75,2023-05-20,2026-05-16
condition,京都,芝,2400,__all__,569,48,26650,48,2023-05-20,2026-05-17
condition,京都,ダート,1200,__all__,2771,189,210640,189,2023-05-20,2026-05-16
condition,京都,芝,1800,__all__,1548,132,112950,132,2023-05-20,2026-05-16
condition,京都,芝,1600,__all__,2553,189,205090,189,2023-05-20,2026-05-17
condition,京都,芝,2000,__all__,1710,150,117290,150,2023-05-20,2026-05-17
condition,新潟,障害,2890,__all__,368,30,31170,30,2023-05-20,2026-05-17
condition,新潟,ダート,1800,__all__,2892,214,241840,214,2023-05-20,2026-05-17
condition,新潟,ダート,1200,__all__,2383,169,168060,168,2023-05-20,2026-05-17
condition,新潟,障害,3290,__all__,42,3,2000,3,2023-05-20,2025-05-24
condition,新潟,芝,2000,__all__,1046,77,93480,77,2023-05-20,2026-05-17
condition,新潟,芝,1600,__all__,1100,81,70200,80,2023-05-20,2026-05-16
condition,新潟,芝,1000,__all__,1107,69,77150,68,2023-05-20,2026-05-17
condition,新潟,芝,1200,__all__,659,42,48850,42,2023-05-20,2026-05-10
condition,東京,ダート,1600,__all__,4977,335,350260,335,2023-05-20,2026-05-17
condition,東京,ダート,1400,__all__,4296,280,249390,279,2023-05-20,2026-05-17
condition,東京,ダート,2100,__all__,1635,113,109030,113,2023-05-20,2026-05-17
condition,東京,芝,1400,__all__,2213,154,254310,154,2023-05-20,2026-05-16
condition,東京,芝,2400,__all__,1060,87,70270,87,2023-05-20,2026-05-17
condition,東京,芝,1600,__all__,2837,212,233170,212,2023-05-20,2026-05-17
condition,東京,芝,1800,__all__,2356,183,151950,182,2023-05-20,2026-05-17
condition,京都,芝,1400,__all__,1677,118,144740,118,2023-05-21,2026-05-17
condition,新潟,芝,1800,__all__,1340,98,82260,98,2023-05-21,2026-05-17
condition,新潟,芝,1400,__all__,1091,70,76460,70,2023-05-21,2026-05-16
condition,東京,ダート,1300,__all__,1045,68,109840,68,2023-05-21,2026-05-16
condition,東京,芝,2000,__all__,1457,126,71660,126,2023-05-21,2026-05-16
condition,京都,芝,2200,__all__,592,49,39450,49,2023-05-27,2026-05-10
condition,東京,障害,3000,__all__,160,15,5260,15,2023-05-27,2025-10-26
condition,京都,障害,2910,__all__,191,18,12350,18,2023-05-28,2026-04-26
condition,東京,芝,2500,__all__,114,8,8830,8,2023-05-28,2025-11-09
condition,阪神,ダート,1400,__all__,2598,175,178140,175,2023-06-03,2026-04-19
condition,阪神,ダート,1800,__all__,3507,279,217240,278,2023-06-03,2026-04-19
condition,阪神,ダート,1200,__all__,1920,131,116380,131,2023-06-03,2026-04-19
condition,阪神,芝,2000,__all__,1167,104,104650,104,2023-06-03,2026-04-19
condition,阪神,芝,1600,__all__,1738,130,123360,130,2023-06-03,2026-04-19
condition,阪神,芝,1800,__all__,1031,85,71310,85,2023-06-03,2026-04-18
condition,阪神,芝,1200,__all__,693,54,69810,54,2023-06-03,2026-04-11
condition,阪神,障害,3110,__all__,67,6,3950,6,2023-06-04,2025-12-20
condition,阪神,ダート,2000,__all__,548,41,45760,41,2023-06-04,2026-04-18
condition,阪神,芝,1400,__all__,1041,73,63430,73,2023-06-04,2026-04-18
condition,阪神,芝,2400,__all__,461,44,27930,44,2023-06-10,2026-04-18
condition,函館,芝,1200,__all__,1655,132,113380,131,2023-06-10,2025-07-20
condition,函館,ダート,1700,__all__,1340,109,107280,109,2023-06-10,2025-07-20
condition,函館,ダート,1000,__all__,676,60,38890,60,2023-06-10,2025-07-20
condition,函館,芝,1800,__all__,786,62,50590,62,2023-06-10,2025-07-20
condition,函館,芝,1000,__all__,34,3,650,3,2023-06-10,2025-06-14
condition,函館,芝,2000,__all__,525,41,45250,41,2023-06-10,2025-07-19
condition,函館,芝,2600,__all__,200,18,15900,18,2023-06-10,2025-07-20
condition,阪神,障害,2970,__all__,226,22,15410,22,2023-06-11,2026-04-19
condition,阪神,芝,2200,__all__,296,23,24160,23,2023-06-11,2026-04-19
condition,東京,芝,3110,__all__,100,9,6370,9,2023-06-24,2025-11-15
condition,函館,ダート,2400,__all__,84,8,5280,8,2023-06-24,2025-07-19
condition,中京,芝,1400,__all__,1387,93,90980,93,2023-07-01,2026-03-28
